,Location,FIPS,Life Expectancy,County name,"Total per enrollee (age, sex, race adjusted)","Total per enrollee (age, sex, race, price adjusted)"
888,"Allen County, Kansas",20001,76.57,KS-Allen County,"10,279 ","11,802 "
889,"Anderson County, Kansas",20003,78.79,KS-Anderson County,"11,235 ","12,127 "
890,"Atchison County, Kansas",20005,77.69,KS-Atchison County,"9,527 ","10,075 "
891,"Barber County, Kansas",20007,77.63,KS-Barber County,"11,788 ","12,230 "
892,"Barton County, Kansas",20009,78.66,KS-Barton County,"9,807 ","10,634 "
893,"Bourbon County, Kansas",20011,77.03,KS-Bourbon County,"7,631 ","8,765 "
894,"Brown County, Kansas",20013,77.76,KS-Brown County,"9,799 ","11,009 "
895,"Butler County, Kansas",20015,77.99,KS-Butler County,"8,952 ","9,886 "
896,"Chase County, Kansas",20017,78.17,KS-Chase County,"7,530 ","8,340 "
897,"Chautauqua County, Kansas",20019,77.08,KS-Chautauqua County,"10,913 ","11,684 "
898,"Cherokee County, Kansas",20021,75.16,KS-Cherokee County,"9,730 ","11,054 "
899,"Cheyenne County, Kansas",20023,80.26,KS-Cheyenne County,"10,761 ","10,770 "
900,"Clark County, Kansas",20025,78.44,KS-Clark County,"14,853 ","14,698 "
901,"Clay County, Kansas",20027,79.88,KS-Clay County,"9,121 ","11,068 "
902,"Cloud County, Kansas",20029,78.52,KS-Cloud County,"8,028 ","9,308 "
903,"Coffey County, Kansas",20031,77.88,KS-Coffey County,"7,994 ","8,734 "
904,"Comanche County, Kansas",20033,76.90,KS-Comanche County,"11,702 ","11,230 "
905,"Cowley County, Kansas",20035,76.47,KS-Cowley County,"8,720 ","9,678 "
906,"Crawford County, Kansas",20037,76.81,KS-Crawford County,"8,955 ","10,243 "
907,"Decatur County, Kansas",20039,79.27,KS-Decatur County,"11,748 ","12,153 "
908,"Dickinson County, Kansas",20041,78.64,KS-Dickinson County,"9,284 ","10,641 "
909,"Doniphan County, Kansas",20043,79.01,KS-Doniphan County,"10,049 ","10,104 "
910,"Douglas County, Kansas",20045,80.53,KS-Douglas County,"7,959 ","8,585 "
911,"Edwards County, Kansas",20047,77.96,KS-Edwards County,"11,581 ","12,279 "
912,"Elk County, Kansas",20049,77.27,KS-Elk County,"10,390 ","11,429 "
913,"Ellis County, Kansas",20051,79.65,KS-Ellis County,"9,684 ","10,650 "
914,"Ellsworth County, Kansas",20053,78.88,KS-Ellsworth County,"11,858 ","12,944 "
915,"Finney County, Kansas",20055,79.19,KS-Finney County,"9,539 ","9,708 "
916,"Ford County, Kansas",20057,78.50,KS-Ford County,"8,474 ","9,286 "
917,"Franklin County, Kansas",20059,77.88,KS-Franklin County,"9,624 ","10,542 "
918,"Geary County, Kansas",20061,76.82,KS-Geary County,"8,522 ","9,818 "
919,"Gove County, Kansas",20063,79.63,KS-Gove County,"10,729 ","12,847 "
920,"Graham County, Kansas",20065,79.68,KS-Graham County,"11,199 ","13,237 "
921,"Grant County, Kansas",20067,78.29,KS-Grant County,"7,801 ","8,133 "
922,"Gray County, Kansas",20069,79.35,KS-Gray County,"7,693 ","8,093 "
923,"Greeley County, Kansas",20071,78.20,KS-Greeley County,"12,199 ","15,741 "
924,"Greenwood County, Kansas",20073,76.82,KS-Greenwood County,"10,649 ","12,045 "
925,"Hamilton County, Kansas",20075,77.63,KS-Hamilton County,"10,534 ","10,514 "
926,"Harper County, Kansas",20077,77.05,KS-Harper County,"10,071 ","10,846 "
927,"Harvey County, Kansas",20079,79.17,KS-Harvey County,"8,063 ","8,942 "
928,"Haskell County, Kansas",20081,79.19,KS-Haskell County,"11,958 ","12,277 "
