,FIPS,Location,Life Expectancy,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4
2164,12061,"Indian River County, Florida",79.96,0.4769,0.4543,0.3107,0.7603,0.3932
2165,12065,"Jefferson County, Florida",76.72,0.7558,0.738,0.5091,0.7001,0.6839
2166,12081,"Manatee County, Florida",80.36,0.5546,0.3836,0.3044,0.8173,0.7224
2167,12085,"Martin County, Florida",81.16,0.4416,0.2897,0.22,0.7692,0.6262
2168,12087,"Monroe County, Florida",78.85,0.4728,0.1614,0.0551,0.8695,0.9771
2169,12099,"Palm Beach County, Florida",81.24,0.5718,0.3773,0.2849,0.9325,0.6571
2170,12115,"Sarasota County, Florida",81.51,0.2827,0.1856,0.2283,0.6648,0.3986
2171,12119,"Sumter County, Florida",81.74,0.2881,0.2467,0.3693,0.5568,0.2878
2172,12131,"Walton County, Florida",77.25,0.6934,0.518,0.3095,0.6141,0.9596
2173,13001,"Appling County, Georgia",74.29,0.9433,0.8736,0.9279999999999999,0.7679,0.8695
2174,13005,"Bacon County, Georgia",72.91,0.8389,0.7144,0.8765,0.7488,0.7246
2175,13009,"Baldwin County, Georgia",76.09,0.8418,0.8768,0.1321,0.6724,0.9608
2176,13011,"Banks County, Georgia",77.40,0.6635,0.7841,0.7373,0.6224,0.2416
2177,13029,"Bryan County, Georgia",75.94,0.3403,0.3833,0.4979,0.6441,0.14800000000000002
2178,13031,"Bulloch County, Georgia",77.07,0.7908,0.8548,0.0923,0.6396,0.937
2179,13053,"Chattahoochee County, Georgia",77.13,0.7752,0.6711,0.3343,0.8268,0.866
2180,13129,"Gordon County, Georgia",75.73,0.8781,0.8443,0.8844,0.8042,0.5925
2181,13151,"Henry County, Georgia",77.50,0.3613,0.4346,0.4862,0.852,0.057
2182,13175,"Laurens County, Georgia",75.06,0.802,0.7641,0.7434,0.6374,0.6899
2183,13181,"Lincoln County, Georgia",75.83,0.6988,0.7832,0.5769,0.5161,0.5298
2184,13185,"Lowndes County, Georgia",76.04,0.9009999999999999,0.8695,0.3709,0.802,0.9538
2185,13189,"McDuffie County, Georgia",73.76,0.9484,0.8873,0.8997,0.7265,0.9166
2186,13191,"McIntosh County, Georgia",78.08,0.5817,0.765,0.8691,0.5005,0.0958
2187,13199,"Meriwether County, Georgia",74.87,0.9229999999999999,0.9335,0.8975,0.5062,0.8631
2188,13201,"Miller County, Georgia",75.41,0.8504,0.8418,0.851,0.3257,0.8902
2189,13209,"Montgomery County, Georgia",75.87,0.7603,0.7545,0.1703,0.8443,0.8039
2190,13217,"Newton County, Georgia",76.05,0.7074,0.7329,0.7966,0.7924,0.2627
2191,13225,"Peach County, Georgia",73.82,0.8809,0.8153,0.3136,0.8672,0.9494
2192,13235,"Pulaski County, Georgia",76.85,0.8784,0.7937,0.6791,0.5829,0.9561
2193,13247,"Rockdale County, Georgia",78.22,0.6208,0.6848,0.4677,0.9316,0.2009
2194,13251,"Screven County, Georgia",74.32,0.8838,0.8644,0.767,0.5753,0.8828
2195,13263,"Talbot County, Georgia",74.41,0.7889,0.8669,0.3763,0.7571,0.589
2196,13293,"Upson County, Georgia",73.71,0.9061,0.9284,0.7221,0.5836,0.8762
2197,13305,"Wayne County, Georgia",74.93,0.9188,0.8975,0.6304,0.7287,0.9223
2198,13317,"Wilkes County, Georgia",74.85,0.872,0.9102,0.9013,0.843,0.3661
2199,15001,"Hawaii County, Hawaii",80.15,0.5594,0.4585,0.3085,0.9198,0.4798
2200,15007,"Kauai County, Hawaii",81.07,0.2923,0.1353,0.0961,0.9484,0.3973
2201,16043,"Fremont County, Idaho",80.08,0.4298,0.4327,0.2353,0.6794,0.4145
2202,16049,"Idaho County, Idaho",79.57,0.5791,0.5807,0.5966,0.4136,0.6132
2203,16057,"Latah County, Idaho",81.01,0.3171,0.5377,0.0086,0.3684,0.772
2204,16067,"Minidoka County, Idaho",78.61,0.632,0.6329,0.6138,0.9169,0.2372
2205,16075,"Payette County, Idaho",78.51,0.6199,0.6918,0.5062,0.7361,0.3251
