County,County Code,Deaths,Population,Crude Rate
"Santa Cruz County, AZ",04023,4870,837911,581.2
"Yavapai County, AZ",04025,46088,3826552,1204.4
"Yuma County, AZ",04027,24023,3538257,679
"Arkansas County, AR",05001,4856,368977,1316.1
"Ashley County, AR",05003,4967,423145,1173.8
"Baxter County, AR",05005,12539,766195,1636.5
"Benton County, AR",05007,28090,3925438,715.6
"Boone County, AR",05009,7789,685449,1136.3
"Bradley County, AR",05011,3031,222701,1361
"Calhoun County, AR",05013,1207,103857,1162.2
"Carroll County, AR",05015,5374,509002,1055.8
"Chicot County, AR",05017,3139,233110,1346.6
"Clark County, AR",05019,4746,436748,1086.7
"Clay County, AR",05021,4546,308798,1472.2
"Cleburne County, AR",05023,6383,478680,1333.5
"Cleveland County, AR",05025,1829,163661,1117.6
"Columbia County, AR",05027,5802,469721,1235.2
"Conway County, AR",05029,4666,396059,1178.1
"Craighead County, AR",05031,15971,1774959,899.8
"Crawford County, AR",05033,10579,1123706,941.4
"Crittenden County, AR",05035,9531,953815,999.3
"Cross County, AR",05037,4140,346325,1195.4
"Dallas County, AR",05039,2238,158025,1416.2
"Desha County, AR",05041,3122,255364,1222.6
"Drew County, AR",05043,3587,353544,1014.6
"Faulkner County, AR",05045,14595,2023033,721.4
"Franklin County, AR",05047,4061,341213,1190.2
"Fulton County, AR",05049,3160,229367,1377.7
"Garland County, AR",05051,24886,1785734,1393.6
"Grant County, AR",05053,3342,331755,1007.4
"Greene County, AR",05055,8367,780631,1071.8
"Hempstead County, AR",05057,4719,431982,1092.4
"Hot Spring County, AR",05059,6952,612310,1135.4
"Howard County, AR",05061,3282,262715,1249.3
"Independence County, AR",05063,7549,681313,1108
"Izard County, AR",05065,3632,255961,1419
"Jackson County, AR",05067,4495,339867,1322.6
"Jefferson County, AR",05069,16341,1478214,1105.5
"Johnson County, AR",05071,4811,471535,1020.3
"Lafayette County, AR",05073,2033,147115,1381.9
"Lawrence County, AR",05075,4449,328564,1354.1
"Lee County, AR",05077,2486,206533,1203.7
"Lincoln County, AR",05079,2494,269908,924
"Little River County, AR",05081,3086,247802,1245.3
"Logan County, AR",05083,5273,424067,1243.4
"Lonoke County, AR",05085,10533,1216199,866.1
"Madison County, AR",05087,3074,288531,1065.4
"Marion County, AR",05089,4101,312162,1313.7
"Miller County, AR",05091,8111,808765,1002.9
"Mississippi County, AR",05093,10270,892184,1151.1
"Monroe County, AR",05095,2396,163660,1464
"Montgomery County, AR",05097,2318,175950,1317.4
"Nevada County, AR",05099,2274,174565,1302.7
"Newton County, AR",05101,1768,157695,1121.2
"Ouachita County, AR",05103,6973,499942,1394.8
"Perry County, AR",05105,2270,196209,1156.9
"Phillips County, AR",05107,5672,428568,1323.5
"Pike County, AR",05109,2619,212317,1233.5
