,FIPS,Per_Capita_Income,Poverty,Disability,NoHighSchoolDiploma,LifeExpectancy
294,8099,19039.0,21.8,19.2,19.7,77.69
295,8101,22229.0,19.3,17.5,12.2,77.5
296,8103,27776.0,16.8,11.3,8.800000000000002,79.25
297,8105,21104.0,20.1,16.3,16.2,77.71
298,8107,35019.0,10.4,6.5,3.5,82.73
299,8109,20569.0,25.1,17.9,21.5,79.75
300,8111,25926.0,16.5,8.3,5.6,79.89
301,8113,40993.0,10.4,9.4,4.7,83.73
302,8115,22124.0,15.6,14.3,12.1,78.22
303,8117,34842.0,14.1,5.3,5.4,86.83
304,8119,31732.0,7.2,14.0,6.9,80.76
305,8121,24326.0,12.9,12.6,9.5,80.28
306,8123,25959.0,13.5,10.5,13.5,80.02
307,8125,22902.0,10.2,10.3,11.1,79.43
308,9001,49688.0,9.1,8.800000000000002,10.8,81.8
309,9003,35307.0,12.1,11.8,11.4,80.08
310,9005,37696.0,6.8,10.0,8.7,80.74
311,9007,40589.0,6.9,9.6,6.2,81.02
312,9009,32794.0,12.7,11.3,11.1,79.81
313,9011,34241.0,9.1,12.3,9.1,80.18
314,9013,35022.0,6.6,9.1,6.8,81.64
315,9015,28044.0,11.4,12.7,12.0,79.0
316,10001,25259.0,12.9,13.0,14.0,77.54
317,10003,32616.0,11.3,11.0,10.2,78.99
318,10005,27748.0,13.3,14.4,14.7,78.76
319,11001,46502.0,18.2,11.1,11.1,76.86
320,12001,25020.0,25.4,10.3,8.2,78.64
321,12003,20346.0,18.6,15.0,19.6,75.25
322,12005,24937.0,14.8,16.6,12.4,76.52
323,12007,18540.0,19.3,18.6,23.9,76.07
324,12009,27360.0,14.0,15.0,9.5,78.52
325,12011,28329.0,14.6,11.3,12.1,80.25
326,12013,15463.0,22.5,24.3,26.7,75.97
327,12015,26374.0,12.7,20.2,10.9,80.6
328,12017,23495.0,17.3,20.3,13.2,76.73
329,12019,26489.0,10.5,13.2,10.0,78.18
330,12021,37236.0,14.4,11.4,14.3,83.43
331,12023,19884.0,20.0,17.9,15.6,75.15
